,Country,Year,Exports (% of GDP),GDP Growth (%),GDP per Capita,Imports (% of GDP),Inflation (%),Population Growth (%),Unemployment (%)
0,American Samoa,2015,16.48378081510263,1.6577942648829742,1.3937735395487443,68.75065029359915,,11.714001086866514,
1,American Samoa,2016,16.217826950296597,0.0,4.646520292353772,65.55758196283904,,13.578070794510595,
2,American Samoa,2017,1.5509021194078154,38.45793039686411,2.8899510721807977,30.66870469669244,,26.43251171485485,
3,American Samoa,2018,5.620326700851167,0.0,4.905883627105504,51.745458279121884,,37.728331392921454,
4,American Samoa,2019,3.610252358214188,15.300749908750902,4.3942608170864625,40.939651935005365,,35.75508498094309,
5,American Samoa,2020,0.0,0.0,5.7196671619026,57.33046391060619,,36.94986892749122,
6,American Samoa,2021,0.2130938881479842,7.925070755222039,6.063965487601862,39.87923585951402,,45.91863400951409,
7,American Samoa,2022,0.9110138403527704,2.7213961051226954,9.24747241864436,22.108196610977444,,65.01192102490273,
8,American Samoa,2023,,,,,,100.0,
9,American Samoa,2024,,,,,,100.0,
10,Australia,2015,0.0,5.827875846909218,0.970466621673777,0.0,1.5150878952027655,0.0,91.68656963621424
11,Australia,2016,0.0,1.8988180466005626,7.792612808331068,0.0,1.1593686505859595,0.0,89.1492004944824
12,Australia,2017,0.0,55.42824136613477,22.136708274303928,0.0,22.435050359561306,0.0,0.0
13,Australia,2018,0.0,0.0,9.753231256889537,0.0,17.98156048844508,0.0,72.26520825466538
14,Australia,2019,0.0,13.164703147474427,10.00003300055262,0.0,23.70092740346627,0.0,53.13433644850668
15,Australia,2020,3.5366800250334425,0.0,5.105050224956035,0.0,23.934297197380722,0.0,67.4239725526298
16,Australia,2021,12.849913913075273,0.20678347951344112,7.683736818904312,0.0,0.0,5.606380464335167,73.6531853241718
17,Australia,2022,61.240485353816545,0.0,38.75951464618346,0.0,0.0,0.0,0.0
18,Australia,2023,0.0,0.0,7.293263952456512,0.0,2.8674453019174693,62.19301796786297,27.64627277776304
19,Australia,2024,0.0,62.94169561302735,37.05830438697265,0.0,0.0,0.0,
20,Brunei Darussalam,2015,4.456725022475805,35.5442042090994,2.0263123226253783,0.0,57.97275844579942,0.0,
21,Brunei Darussalam,2016,7.270536684481153,0.0,92.72946331551884,0.0,0.0,0.0,
22,Brunei Darussalam,2017,0.04738515682410547,10.41522485934226,2.5446105767356566,0.0,32.97179688475677,0.0,54.02098252234121
23,Brunei Darussalam,2018,0.3495052615708726,24.963962517295595,3.6621820546525874,0.0,9.714236854563433,0.0,61.31011331191751
24,Brunei Darussalam,2019,2.134761166672195,0.0,3.6843362405020077,0.0,47.79781991492557,0.0,46.38308267790023
25,Brunei Darussalam,2020,0.0,0.0,4.844313359932378,0.0,0.0,0.0,95.15568664006763
26,Brunei Darussalam,2021,0.0,10.921833634644566,6.68343847711082,6.241022429530301,21.973866678416847,0.0,54.17983878029746
27,Brunei Darussalam,2022,0.0,12.223772152318237,3.8506519776021486,0.0,31.7708234024137,0.0,52.15475246766591
28,Brunei Darussalam,2023,1.3558204158857907,0.0,11.719252289777932,0.0,86.92492729433629,0.0,0.0
29,Brunei Darussalam,2024,8.078700696411966,0.0,22.87170330549,0.0,69.04959599809803,0.0,
30,Cambodia,2015,0.0,18.45088197792496,0.0,0.0,0.0,3.7205964460290204,77.82852157604601
31,Cambodia,2016,0.0,0.0,100.0,0.0,0.0,0.0,0.0
32,Cambodia,2017,0.0,19.366284563901594,0.14634984022458578,0.0,10.543234777937501,10.593456607496513,59.35067421043981
33,Cambodia,2018,0.0,94.20474943767138,0.042936129232840965,0.0,0.0,5.752314433095794,
34,Cambodia,2019,0.0,0.0,0.0,0.0,0.0,100.0,0.0
35,Cambodia,2020,0.0,0.15468178687652953,0.0,0.0,28.344168507896562,10.509440265238684,60.99170943998822
36,Cambodia,2021,0.0,1.1171662337641564,0.0,0.0,0.0,98.88283376623583,0.0
37,Cambodia,2022,0.4848765761559337,38.437939760103895,0.0,0.0,0.0,61.07718366374017,
38,Cambodia,2023,0.0,0.0,0.0,0.0,100.0,0.0,
39,Cambodia,2024,0.0,75.12409899901577,0.0,0.0,,24.875901000984225,
40,China,2015,0.0,0.0,16.942430621788642,0.0,45.80003650195332,37.25753287625804,
41,China,2016,0.0,0.0,62.386101507067124,0.0,0.0,37.613898492932876,
42,China,2017,0.0,0.0,24.38460150572914,0.0,66.13451017320438,9.480888321066486,0.0
43,China,2018,0.0,0.0,11.21272796603399,0.0,17.405718259318377,11.371760693835649,60.00979308081199
44,China,2019,0.0,0.0,13.163790113063989,0.0,0.0,16.68347005131505,70.15273983562096
45,China,2020,8.005189979434588,0.0,9.308056179102755,0.0,0.0,15.890009791981324,66.79674404948133
46,China,2021,9.14364232206606,0.0,4.986273881608951,0.0,27.94538240694484,5.370996929166359,52.553704460213794
47,China,2022,10.555859641062543,0.0,5.574019878128817,0.0,74.76273360476242,9.10738687604622,
48,China,2023,0.0,0.5255991063458095,11.594616671391659,0.0,87.87978422226253,0.0,
49,China,2024,0.0,0.0,23.129839361151728,0.0,67.15562819029657,9.714532448551706,
50,Fiji,2015,0.0,0.0,10.562745512643032,0.0,39.27003225640023,50.167222230956746,
51,Fiji,2016,0.0,4.193625784027848,15.963293443526014,0.0,0.0,25.826721428394876,54.01635934405126
52,Fiji,2017,0.0,0.0,20.13131939422368,0.0,0.0,79.86868060577632,
53,Fiji,2018,0.0,0.0,20.889174818681507,0.0,0.0,79.11082518131849,
54,Fiji,2019,0.0,36.46102594563523,10.26301525290735,0.0,12.025379540818912,41.25057926063851,
