Country Name,Year,Exports_GDP_percent,GDP growth (annual %),GDP_per_capita,Imports_GDP_percent,"Inflation, consumer prices (annual %)",Population_growth_percent,"Unemployment, total (% of total labor force) (national estimate)"
Fiji,2023,56.96641605,7.524291351,11736.70041,69.2127623,2.344082966,0.5123774,
Fiji,2024,,3.828998887,12125.2326,,4.511382565,0.500721797,
French Polynesia,2015,19.61376507,1.803340815,1865867.001,36.01670356,,0.533692559,
French Polynesia,2016,19.61263411,2.302198237,1899852.424,34.00386083,,0.471058813,
French Polynesia,2017,19.55695843,4.292633631,1974975.633,35.02073207,,0.325069797,
French Polynesia,2018,20.97916875,1.871231911,2013887.747,44.0354941,,-0.097159868,
French Polynesia,2019,20.59235903,2.700012067,2074051.908,42.71375337,,-0.279503232,
French Polynesia,2020,9.499728476,-7.050944221,1926603.369,36.33345496,,0.062696713,
French Polynesia,2021,13.10280139,2.094529907,1962858.123,38.53480704,,0.208586465,
French Polynesia,2022,21.09682259,4.4663797,2046241.146,46.13414366,,0.209222277,
French Polynesia,2023,23.07255682,2.996927078,2102017.658,45.6355357,,0.263581728,
French Polynesia,2024,,,,,,0.244792945,
Guam,2015,18.07208139,0.825688073,33322.21582,53.26780479,,-0.351704858,6.9
Guam,2016,18.96288765,0.181983621,33519.45102,51.44890696,,-0.408339927,5.4
Guam,2017,18.97555297,0.890099909,33971.49673,50.29103609,,-0.453432486,
Guam,2018,19.25301603,-0.828231905,33858.08863,53.71013056,,-0.49728924,
Guam,2019,22.2501967,2.523602033,34899.38693,55.81431943,,-0.536848682,
Guam,2020,6.406355646,-10.51885957,31160.96646,57.26842461,,0.216072141,
Guam,2021,3.095925569,2.058183257,31496.97673,58.74238049,,0.964756108,
Guam,2022,7.887120116,5.099864262,32812.68919,63.97973951,,0.881705873,
Guam,2023,,,,,,0.799555642,
Guam,2024,,,,,,0.760437189,
"Hong Kong SAR, China",2015,195.8976016,2.387783395,374870.0506,193.5083476,2.990848193,0.851197911,3.314
"Hong Kong SAR, China",2016,187.0051289,2.175436928,380660.115,184.7221029,2.409307439,0.619366345,3.392
"Hong Kong SAR, China",2017,188.9023996,3.796113581,392085.5651,187.8932671,1.493872439,0.768513878,3.124
"Hong Kong SAR, China",2018,188.339507,2.846934576,400033.9479,188.5532665,2.40613432,0.800230597,2.805
"Hong Kong SAR, China",2019,177.6513152,-1.672395165,390446.5963,176.092206,2.883208538,0.739283471,2.917
"Hong Kong SAR, China",2020,176.3044824,-6.544783202,366204.7855,174.3752226,0.250962021,-0.358932662,5.808
"Hong Kong SAR, China",2021,204.0142637,6.454424733,393411.9329,198.4454177,1.568758344,-0.911776749,5.174
"Hong Kong SAR, China",2022,194.486518,-3.683751417,382375.5462,190.3946252,1.881367072,-0.907914524,4.318
"Hong Kong SAR, China",2023,176.7861614,3.214489017,384716.6306,176.1996869,2.096605112,2.553524667,2.949
"Hong Kong SAR, China",2024,181.7290123,2.541197539,395122.2073,177.6731645,1.729721191,-0.159360467,
Indonesia,2015,21.16017926,4.8763223,34310706.14,20.77746098,6.363121131,1.122339818,4.514
Indonesia,2016,19.08899385,5.033069183,35652440.97,18.33234795,3.525805157,1.0744882,4.301
Indonesia,2017,20.17730444,5.069785901,37078930.31,19.17819264,3.80879807,1.022329398,3.783
Indonesia,2018,21.0027465,5.17429154,38621154.31,22.07156246,3.198346416,0.96974341,4.387
Indonesia,2019,18.5915278,5.01928768,40181952.63,19.03624974,3.03058665,0.935604959,3.59
Indonesia,2020,17.33116828,-2.065511829,39018992.88,15.64100712,1.920968006,0.849801187,4.255
Indonesia,2021,21.41655564,3.702885628,40179715.02,18.78820264,1.560129905,0.704601322,3.827
Indonesia,2022,24.50291169,5.307197227,41997636.49,20.96175851,4.209463834,0.74605047,3.462
Indonesia,2023,21.7538472,5.049023318,43747900.6,19.58243967,3.670131424,0.842666137,3.308
Indonesia,2024,22.18331287,5.030344694,45576126.13,20.38933443,,0.813871513,
Japan,2015,17.43675984,1.560626697,4313243.367,17.99064852,0.795279631,-0.106124994,3.385
Japan,2016,16.05796924,0.753826746,4347980.626,15.25227761,-0.127258844,-0.051137415,3.132
Japan,2017,17.5914391,1.675331752,4424444.726,16.83177447,0.484199796,-0.081874296,2.822
Japan,2018,18.3149456,0.643391024,4458564.649,18.2949862,0.989094598,-0.126880068,2.467
Japan,2019,17.46352643,-0.402169201,4446875.593,17.75289168,0.468776159,-0.140464978,2.351
Japan,2020,15.53318286,-4.168764571,4274051.37,15.80202577,-0.024995834,-0.294194618,2.809
Japan,2021,18.10919194,2.696574042,4409539.541,18.62925429,-0.233352779,-0.459952416,2.809
Japan,2022,21.54642412,0.941998775,4470877.451,25.26656271,2.497702782,-0.443851919,2.615
Japan,2023,21.85159124,1.475034811,4558989.576,23.29928832,3.268133659,-0.487370782,2.6
Japan,2024,,0.083698564,4582726.686,,2.738536816,-0.435651699,
Kiribati,2015,13.95745125,11.26532094,2250.682703,95.93164715,0.572015744,1.282858625,9.335
Kiribati,2016,16.61728055,7.088034658,2376.381269,94.65251019,1.917310902,1.413580252,
Kiribati,2017,13.25630874,3.749117826,2428.638537,87.30493822,0.355520889,1.505349825,
Kiribati,2018,8.190350189,3.479439721,2475.902657,72.92718868,0.564030491,1.492854481,
Kiribati,2019,14.97966682,3.264287565,2518.822476,81.61064391,-1.813079953,1.49349334,8.557
Kiribati,2020,9.578726145,-1.468067181,2438.977696,67.13022997,2.553245544,1.742304693,10.971
Kiribati,2021,3.767046025,8.479737871,2598.847978,70.75120355,2.053616768,1.790393476,
Kiribati,2022,7.606580759,4.566325931,2673.945883,100.5370798,5.345954409,1.616440317,
Kiribati,2023,5.92034144,2.652010875,2702.173375,101.6665974,9.283073745,1.567338424,
Kiribati,2024,6.270950724,5.266899264,2802.456224,94.8799201,,1.488898419,
"Korea, Dem. People's Rep.",2015,,,,,,0.486366779,
"Korea, Dem. People's Rep.",2016,,,,,,0.479685661,
"Korea, Dem. People's Rep.",2017,,,,,,0.463479822,
"Korea, Dem. People's Rep.",2018,,,,,,0.438418123,
"Korea, Dem. People's Rep.",2019,,,,,,0.409804314,
"Korea, Dem. People's Rep.",2020,,,,,,0.37827356,
"Korea, Dem. People's Rep.",2021,,,,,,0.367478437,
"Korea, Dem. People's Rep.",2022,,,,,,0.366471008,
"Korea, Dem. People's Rep.",2023,,,,,,0.338821175,
"Korea, Dem. People's Rep.",2024,,,,,,0.304699893,
"Korea, Rep.",2015,42.98956153,2.809103268,32500678.67,36.14293286,0.706331772,0.527288497,3.546
